 Table 4. Sale prices statistics by NSW Postcode,,,,,,,,,,
Reporting period: July - September 2023,,,,,,,,,,
(s): 30 or fewer properties sold; (-): 10 or fewer properties sold,,,,,,,,,,
Read explanatory notes,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Postcode,Dwelling Type,"First Quartile Sales Price
$'000s","Median Sales Price
$'000s","Third Quartile Sales Price
'000s","Mean Sales Price
$'000s","Sales
No.",Qtly change in Median,Annual change in Median,Qtly change in Count,Annual change in Count
2034,Non Strata,2963,3710,5001,4469,s,-3.39%,9.12%,-15.38%,69.23%
2034,Strata,1120,1475,1840,1599,67,7.98%,5.36%,0.00%,24.07%
2035,Total,939,1585,2770,1978,118,18.28%,5.67%,-6.35%,8.26%
2035,Non Strata,2500,2808,3083,3093,54,-7.50%,14.36%,5.88%,12.50%
2035,Strata,826,965,1225,1037,64,1.58%,1.15%,-14.67%,4.92%
2036,Total,820,1081,2180,1468,113,-38.23%,5.05%,31.40%,31.40%
2036,Non Strata,2098,2420,2805,2482,s,-5.28%,-3.97%,-16.67%,7.14%
2036,Strata,764,865,1263,1102,83,-0.92%,8.13%,66.00%,43.10%
2037,Total,900,1390,1958,1570,75,10.76%,-20.11%,5.63%,-15.73%
2037,Non Strata,2000,2600,3027,2639,s,6.56%,26.83%,23.53%,0.00%
2037,Strata,803,1130,1438,1154,54,-2.80%,-22.87%,0.00%,-20.59%
2038,Total,1300,1650,2050,1699,37,-13.52%,-6.78%,-13.95%,8.82%
2038,Non Strata,1650,2000,2410,2164,s,-13.31%,4.17%,-25.00%,-22.22%
2038,Strata,679,973,1466,1088,s,-30.54%,-12.39%,6.67%,128.57%
2039,Total,1658,2083,2614,2192,46,7.90%,16.99%,17.95%,39.39%
2039,Non Strata,2030,2275,2656,2494,s,-0.87%,21.98%,16.67%,55.56%
2039,Strata,1200,1591,1935,1722,s,15.25%,9.69%,20.00%,20.00%
2040,Total,1354,1735,2200,1773,115,8.27%,6.28%,12.75%,22.34%
2040,Non Strata,1819,2075,2563,2150,72,1.07%,12.15%,30.91%,24.14%
2040,Strata,833,1225,1365,1142,43,22.26%,26.94%,-8.51%,19.44%
2041,Total,1660,2043,2600,2156,76,-13.09%,2.12%,13.43%,22.58%
2041,Non Strata,1870,2250,3200,2581,45,-24.37%,-14.93%,4.65%,25.00%
2041,Strata,940,1333,2085,1538,31,-10.42%,8.78%,29.17%,19.23%
2042,Total,850,1525,1955,1569,89,4.63%,8.93%,17.11%,18.67%
2042,Non Strata,1610,1900,2376,2072,54,6.92%,21.41%,14.89%,1.89%
2042,Strata,615,765,931,794,35,12.50%,-2.30%,20.69%,59.09%
2043,Total,870,1168,1398,1224,58,4.94%,21.74%,-3.33%,56.76%
2043,Non Strata,1613,1938,2040,1863,s,16.02%,46.23%,-22.22%,16.67%
2043,Strata,810,1005,1207,1021,44,6.72%,22.56%,4.76%,76.00%
2044,Total,1238,1510,1755,1478,47,7.09%,7.86%,9.30%,42.42%
2044,Non Strata,1470,1650,1828,1675,33,11.30%,14.58%,6.45%,22.22%
2044,Strata,743,928,1369,1013,s,-0.54%,0.82%,16.67%,133.33%
2045,Total,2700,2950,3500,3184,s,3.51%,1.29%,-15.00%,112.50%
2045,Non Strata,2738,2975,3553,3318,s,3.48%,2.15%,-11.11%,100.00%
2045,Strata,-,-,-,-,-,-,-,-,-
2046,Total,1020,1800,2850,2003,113,-3.23%,22.45%,17.71%,39.51%
2046,Non Strata,2314,3028,3650,2963,48,17.34%,5.45%,6.67%,33.33%
2046,Strata,920,1075,1428,1294,65,-6.52%,11.98%,27.45%,44.44%
2047,Total,995,1375,1950,1550,55,-3.51%,-18.76%,-15.38%,5.77%
2047,Non Strata,1743,1950,2577,2117,s,-17.02%,-20.73%,-17.65%,-22.22%
2047,Strata,908,1210,1470,1356,41,-2.22%,-7.88%,-14.58%,20.59%
2048,Total,748,1020,2168,1513,37,-36.65%,13.33%,60.87%,48.00%
2048,Non Strata,2002,2172,2590,2297,s,-3.48%,1.96%,20.00%,38.46%
2048,Strata,706,748,835,770,s,0.40%,13.33%,137.50%,58.33%
2049,Total,762,950,2208,1432,47,-21.81%,-32.38%,-2.08%,-4.08%
2049,Non Strata,1910,2301,2540,2282,s,22.39%,31.49%,-16.00%,-32.26%
2049,Strata,631,778,848,745,s,-10.12%,15.53%,13.04%,44.44%
2050,Total,861,1109,1503,1258,56,9.78%,14.30%,-1.75%,47.37%
2050,Non Strata,1621,1781,2194,1997,s,-1.63%,13.08%,-14.29%,-14.29%
2050,Strata,820,1030,1238,1056,44,14.44%,22.91%,2.33%,83.33%
2060,Total,826,1203,1596,1414,94,16.18%,-13.02%,2.17%,46.88%
2060,Non Strata,-,-,-,-,-,-,-,-,-
2060,Strata,787,1135,1503,1181,84,10.73%,-8.54%,-5.62%,55.56%
2061,Total,1780,2500,3100,2741,49,4.17%,41.64%,48.48%,36.11%
2061,Non Strata,-,-,-,-,-,-,-,-,-
2061,Strata,1752,2180,2830,2572,45,9.07%,23.51%,45.16%,25.00%
2062,Total,1270,1900,2755,2027,37,41.53%,9.83%,-2.63%,5.71%
2062,Non Strata,-,-,-,-,-,-,-,-,-
2062,Strata,1113,1500,2193,1605,s,27.12%,5.91%,-12.90%,3.85%
2063,Total,4366,4600,5863,4989,s,162.86%,24.32%,-18.18%,20.00%
2063,Non Strata,4415,4600,6050,5173,s,-17.86%,6.68%,70.00%,88.89%
2063,Strata,-,-,-,-,-,-,-,-,-
2064,Total,950,1225,1780,1620,35,3.95%,7.69%,16.67%,9.38%
2064,Non Strata,-,-,-,-,-,-,-,-,-
2064,Strata,930,1105,1325,1172,s,3.27%,14.66%,21.74%,40.00%
2065,Total,999,1383,2100,1693,246,0.55%,-6.62%,9.82%,6.49%
2065,Non Strata,2525,3070,4180,3384,45,5.86%,-52.77%,104.55%,-23.73%
