 Table 4. Sale prices statistics by NSW Postcode,,,,,,,,,,
Reporting period: July - September 2023,,,,,,,,,,
(s): 30 or fewer properties sold; (-): 10 or fewer properties sold,,,,,,,,,,
Read explanatory notes,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Postcode,Dwelling Type,"First Quartile Sales Price
$'000s","Median Sales Price
$'000s","Third Quartile Sales Price
'000s","Mean Sales Price
$'000s","Sales
No.",Qtly change in Median,Annual change in Median,Qtly change in Count,Annual change in Count
2135,Non Strata,2859,3318,4036,3569,48,-5.62%,-3.77%,33.33%,41.18%
2135,Strata,645,720,880,783,61,1.41%,5.88%,48.78%,3.39%
2136,Total,742,890,1912,1501,39,10.55%,-17.60%,-7.14%,34.48%
2136,Non Strata,1745,2090,2476,2393,s,11.02%,20.01%,50.00%,50.00%
2136,Strata,645,743,799,736,s,13.70%,14.31%,-30.00%,23.53%
2137,Total,823,1175,2335,1615,159,-32.76%,-44.05%,51.43%,27.20%
2137,Non Strata,2443,2848,3466,2933,46,-1.81%,-1.13%,15.00%,-14.81%
2137,Strata,780,825,1433,1079,113,-40.22%,-34.00%,73.85%,59.15%
2138,Total,808,1010,1400,1242,129,-3.35%,4.66%,7.50%,50.00%
2138,Non Strata,1771,2725,2888,2454,s,-1.27%,4.31%,-18.52%,57.14%
2138,Strata,775,915,1128,992,107,-1.61%,1.67%,15.05%,48.61%
2140,Total,590,650,741,720,136,5.26%,1.56%,15.25%,37.37%
2140,Non Strata,-,-,-,-,-,-,-,-,-
2140,Strata,588,650,713,655,131,7.44%,2.85%,14.91%,37.89%
2141,Total,655,799,1108,932,151,2.57%,-6.00%,-7.93%,27.97%
2141,Non Strata,1285,1480,1755,1526,40,16.08%,8.82%,5.26%,8.11%
2141,Strata,600,740,805,717,111,0.61%,2.78%,-11.90%,37.04%
2142,Total,474,559,894,717,140,-18.73%,-11.31%,-23.91%,20.69%
2142,Non Strata,988,1135,1325,1193,39,6.27%,12.10%,34.48%,8.33%
2142,Strata,450,510,595,534,101,-13.56%,-2.16%,-34.84%,26.25%
2143,Total,637,992,1270,975,38,-3.50%,-1.34%,58.33%,65.22%
2143,Non Strata,1015,1153,1413,1219,s,-3.80%,13.05%,71.43%,33.33%
2143,Strata,480,546,670,558,s,2.02%,47.53%,40.00%,180.00%
2144,Total,500,647,859,739,159,0.89%,5.50%,33.61%,62.24%
2144,Non Strata,1062,1180,1356,1231,41,0.94%,4.42%,10.81%,17.14%
2144,Strata,451,566,664,567,118,-0.79%,13.10%,43.90%,87.30%
2145,Total,580,758,1186,878,360,1.00%,-1.30%,10.77%,33.33%
2145,Non Strata,1085,1230,1350,1230,157,1.23%,9.33%,9.03%,24.60%
2145,Strata,530,592,683,605,203,3.32%,0.25%,12.15%,40.97%
2146,Total,605,855,1210,910,77,-10.94%,-10.30%,2.67%,16.67%
2146,Non Strata,1176,1222,1301,1227,37,1.83%,4.80%,-9.76%,5.71%
2146,Strata,533,618,683,617,40,4.75%,6.47%,17.65%,29.03%
2147,Total,880,1050,1361,1095,133,5.53%,16.67%,5.56%,16.67%
2147,Non Strata,961,1110,1378,1155,115,10.45%,22.72%,-0.86%,12.75%
2147,Strata,612,688,775,713,s,-6.14%,-0.72%,80.00%,50.00%
2148,Total,570,840,965,799,301,5.00%,12.00%,19.44%,35.59%
2148,Non Strata,900,955,1065,992,162,0.26%,12.22%,17.39%,25.58%
2148,Strata,450,560,688,573,139,10.88%,3.70%,21.93%,49.46%
2150,Total,527,653,800,885,274,4.98%,7.05%,11.38%,48.11%
2150,Non Strata,1615,1761,4120,3337,s,33.31%,27.61%,100.00%,300.00%
2150,Strata,520,645,755,692,254,5.31%,6.61%,7.63%,41.11%
2151,Total,613,790,1705,1155,88,-17.45%,-3.98%,7.32%,-2.22%
2151,Non Strata,1655,1901,2117,1892,34,18.78%,17.13%,-5.56%,41.67%
2151,Strata,586,620,768,692,54,0.12%,0.98%,17.39%,-18.18%
2152,Total,678,900,1180,1001,39,24.14%,-2.17%,-2.50%,-26.42%
2152,Non Strata,1175,1485,1663,1423,s,3.13%,4.58%,-6.67%,-39.13%
2152,Strata,635,725,900,764,s,25.65%,9.68%,0.00%,-16.67%
2153,Total,1155,1620,1900,1538,204,4.45%,17.82%,5.15%,19.30%
2153,Non Strata,1638,1800,2029,1837,132,6.35%,17.65%,1.54%,12.82%
2153,Strata,784,895,1176,988,72,11.81%,13.95%,12.50%,33.33%
2154,Total,1125,1908,2343,1790,160,5.91%,19.22%,22.14%,13.48%
2154,Non Strata,2000,2275,2519,2341,90,0.93%,18.49%,23.29%,3.45%
2154,Strata,902,1075,1223,1083,70,-0.97%,15.59%,20.69%,29.63%
2155,Total,849,1575,1833,1446,360,9.97%,30.67%,-10.89%,-4.26%
2155,Non Strata,1557,1723,1914,1752,252,0.57%,13.14%,3.28%,26.00%
2155,Strata,612,700,789,732,108,5.82%,5.26%,-32.50%,-38.64%
2156,Total,2238,2575,3327,2796,40,-10.43%,-0.96%,-13.04%,-2.44%
2156,Non Strata,2238,2575,3327,2796,40,-10.43%,-0.96%,-13.04%,-2.44%
2157,Total,1796,1895,2738,2205,s,-24.88%,-9.76%,-8.33%,-8.33%
2157,Non Strata,1796,1895,2738,2205,s,-24.88%,-9.76%,-8.33%,-8.33%
2158,Total,1475,1810,2210,2151,s,-4.99%,-15.02%,-34.21%,-7.41%
2158,Non Strata,1788,1928,2449,2545,s,-4.96%,-42.89%,-41.94%,-18.18%
2158,Strata,-,-,-,-,-,-,-,-,-
2159,Total,-,-,-,-,-,-,-,-,-
2159,Non Strata,-,-,-,-,-,-,-,-,-
2160,Total,479,856,1181,864,126,-2.23%,11.10%,7.69%,5.88%
2160,Non Strata,970,1150,1341,1184,68,0.44%,15.00%,7.94%,11.48%
2160,Strata,440,475,508,488,58,-0.58%,3.26%,7.41%,0.00%
2161,Total,485,938,1185,898,126,-8.04%,6.59%,9.57%,63.64%
2161,Non Strata,940,1135,1243,1113,84,3.18%,16.41%,1.20%,71.43%
2161,Strata,419,458,478,469,42,-2.45%,-4.49%,31.25%,50.00%
2162,Total,790,1080,1160,992,47,-0.18%,16.76%,-11.32%,2.17%
2162,Non Strata,1052,1109,1210,1110,36,-0.09%,15.52%,-20.00%,2.86%
2162,Strata,510,631,706,606,s,0.96%,1.77%,37.50%,0.00%
2163,Total,498,760,900,700,s,19.69%,15.15%,3.45%,-6.25%
2163,Non Strata,850,900,930,888,s,-3.23%,5.29%,21.43%,6.25%
2163,Strata,375,470,545,455,s,25.33%,-6.00%,-13.33%,-18.75%
2164,Total,888,1025,1200,1055,38,4.59%,13.89%,-35.59%,-19.15%
2164,Non Strata,914,1040,1200,1072,36,4.52%,14.29%,-32.08%,-21.74%
2164,Strata,-,-,-,-,-,-,-,-,-
2165,Total,499,900,1076,833,159,-3.23%,5.88%,23.26%,48.60%
2165,Non Strata,900,1000,1135,1028,105,0.00%,1.27%,38.16%,43.84%
2165,Strata,390,419,499,454,54,-8.91%,16.71%,1.89%,58.82%
2166,Total,458,837,1100,850,166,-8.08%,-3.29%,-0.60%,36.07%
2166,Non Strata,900,1075,1335,1110,99,3.86%,7.50%,13.79%,25.32%
2166,Strata,387,425,536,465,67,-2.30%,-2.30%,-16.25%,55.81%
2167,Total,743,794,1006,865,38,-10.34%,10.02%,15.15%,26.67%
2167,Non Strata,919,1030,1140,1048,s,5.64%,8.42%,-21.74%,12.50%
2167,Strata,637,745,760,701,s,21.04%,44.66%,100.00%,42.86%
2168,Total,780,848,955,885,99,-0.24%,3.41%,8.79%,37.50%
2168,Non Strata,790,853,964,896,90,-0.41%,3.96%,5.88%,25.00%
2168,Strata,-,-,-,-,-,-,-,-,-
2170,Total,510,726,981,775,439,5.91%,4.46%,-2.23%,-1.57%
2170,Non Strata,885,1026,1230,1067,193,5.77%,3.90%,-10.65%,-3.50%
2170,Strata,420,533,655,547,246,6.50%,3.65%,5.58%,0.00%
2171,Total,920,1050,1202,1081,85,-5.58%,-4.55%,30.77%,7.59%
2171,Non Strata,920,1055,1214,1084,84,-5.13%,-4.52%,29.23%,10.53%
2171,Strata,-,-,-,-,-,-,-,-,-
2172,Total,-,-,-,-,-,-,-,-,-
2172,Non Strata,-,-,-,-,-,-,-,-,-
2173,Total,888,1060,1215,1068,39,3.11%,10.19%,25.81%,2.63%
2173,Non Strata,932,1070,1243,1096,35,3.46%,7.00%,25.00%,6.06%
2173,Strata,-,-,-,-,-,-,-,-,-
2174,Total,710,1171,1300,1038,36,62.67%,10.50%,-40.00%,-12.20%
2174,Non Strata,1185,1270,1399,1289,s,4.53%,7.63%,-18.52%,-37.14%
2174,Strata,584,599,715,644,s,-10.50%,-10.03%,-57.58%,133.33%
2175,Total,-,-,-,-,-,-,-,-,-
2175,Non Strata,-,-,-,-,-,-,-,-,-
2176,Total,908,1040,1216,1057,95,-7.23%,-5.45%,9.20%,13.10%
2176,Non Strata,976,1085,1256,1127,78,-4.82%,-1.36%,-2.50%,-1.27%
2176,Strata,700,735,770,736,s,2.08%,-2.00%,142.86%,240.00%
2177,Total,830,963,1076,959,s,18.84%,9.38%,-18.52%,57.14%
2177,Non Strata,885,970,1119,1020,s,11.49%,7.78%,0.00%,46.15%
2177,Strata,-,-,-,-,-,-,-,-,-
2178,Total,-,-,-,-,-,-,-,-,-
2178,Non Strata,-,-,-,-,-,-,-,-,-
2179,Total,723,960,1173,1650,90,-3.76%,-11.52%,18.42%,25.00%
2179,Non Strata,723,960,1173,1650,90,-3.76%,-11.52%,18.42%,25.00%
2190,Total,990,1260,1420,1201,61,4.56%,5.00%,-11.59%,-10.29%
2190,Non Strata,1100,1300,1460,1283,53,2.89%,3.17%,-1.85%,-3.64%
2190,Strata,-,-,-,-,-,-,-,-,-
2191,Total,975,1610,1725,1541,s,15.00%,19.26%,-13.33%,44.44%
2191,Non Strata,-,-,-,-,-,-,-,-,-
2191,Strata,-,-,-,-,-,-,-,-,-
2192,Total,529,710,1498,1002,46,7.58%,-29.00%,-14.81%,31.43%
2192,Non Strata,1440,1600,1748,1616,s,6.24%,25.49%,-9.52%,0.00%
2192,Strata,485,533,675,571,s,-4.57%,-0.47%,-18.18%,68.75%
2193,Total,736,1398,2116,1747,66,62.50%,87.84%,8.20%,3.13%
2193,Non Strata,1622,1880,2125,1885,s,-13.00%,15.16%,0.00%,-16.67%
2193,Strata,670,785,1225,1663,41,17.12%,28.69%,13.89%,20.59%
2194,Total,539,645,710,786,103,2.38%,2.38%,-1.90%,28.75%
2194,Non Strata,1540,1658,1875,1756,s,10.50%,11.20%,-30.43%,0.00%
2194,Strata,528,620,670,608,87,3.77%,1.64%,6.10%,35.94%
2195,Total,390,410,550,557,121,0.61%,-1.80%,4.31%,21.00%
2195,Non Strata,924,1107,1260,1191,s,-6.23%,-3.47%,-16.00%,16.67%
2195,Strata,385,401,436,423,100,2.69%,3.02%,9.89%,21.95%
2196,Total,482,1031,1266,943,90,3.05%,20.10%,-5.26%,7.14%
2196,Non Strata,1080,1215,1400,1253,54,-1.74%,2.19%,-5.26%,17.39%
2196,Strata,380,420,561,478,36,-6.15%,-15.75%,-5.26%,-5.26%
2197,Total,923,1048,1206,1069,s,-9.68%,-2.08%,18.18%,116.67%
2197,Non Strata,930,1066,1215,1081,s,-15.60%,-4.10%,38.89%,177.78%
2197,Strata,-,-,-,-,-,-,-,-,-
2198,Total,1000,1200,1300,1182,33,0.42%,10.80%,-13.16%,10.00%
2198,Non Strata,1000,1200,1303,1197,32,-1.64%,10.09%,0.00%,18.52%
2198,Strata,-,-,-,-,-,-,-,-,-
2199,Total,708,1139,1279,1053,64,12.44%,18.96%,18.52%,60.00%
2199,Non Strata,1100,1250,1405,1242,45,7.20%,20.19%,28.57%,73.08%
2199,Strata,490,605,685,604,s,1.68%,0.83%,0.00%,35.71%
2200,Total,490,595,1204,833,199,-4.42%,0.00%,22.84%,30.07%
2200,Non Strata,1194,1289,1426,1355,72,-4.56%,7.37%,10.77%,30.91%
2200,Strata,465,510,575,537,127,1.99%,2.50%,30.93%,29.59%
2203,Total,720,903,1509,1235,70,1.52%,1.52%,7.69%,-1.41%
2203,Non Strata,1765,2210,2709,2315,s,32.53%,22.44%,-5.00%,-13.64%
2203,Strata,670,800,922,833,51,-3.73%,1.01%,13.33%,4.08%
2204,Total,810,1090,1845,1353,103,-20.73%,0.00%,4.04%,0.00%
2204,Non Strata,1748,2055,2390,2117,40,6.48%,15.32%,-20.00%,-25.93%
2204,Strata,736,840,992,868,63,3.07%,15.86%,28.57%,28.57%
2205,Total,702,780,880,876,143,5.98%,5.83%,5.15%,7.52%
2205,Non Strata,1431,1673,1771,1662,s,3.24%,4.53%,-5.26%,-40.00%
2205,Strata,684,760,825,763,125,8.57%,6.67%,6.84%,21.36%
2206,Total,1282,1655,1872,1622,46,2.32%,11.07%,-25.81%,9.52%
2206,Non Strata,1565,1803,2065,1833,34,5.56%,12.66%,-34.62%,9.68%
2206,Strata,894,926,1094,1023,s,-14.26%,19.48%,20.00%,9.09%
2207,Total,727,1000,1631,1203,127,-6.76%,-16.67%,41.11%,39.56%
2207,Non Strata,1509,1680,1931,1728,58,7.49%,13.74%,38.10%,11.54%
2207,Strata,668,740,830,761,69,10.45%,8.03%,43.75%,76.92%
2208,Total,1398,1515,1857,1564,56,0.30%,0.33%,55.56%,133.33%
2208,Non Strata,1450,1636,1948,1751,44,4.87%,8.34%,62.96%,100.00%
2208,Strata,738,915,1008,878,s,27.26%,-31.84%,33.33%,500.00%
2209,Total,656,1373,1521,1213,36,-3.65%,14.08%,-32.08%,-25.00%
2209,Non Strata,1362,1445,1640,1475,s,-4.31%,1.47%,-27.78%,-7.14%
2209,Strata,-,-,-,-,-,-,-,-,-
2210,Total,720,1254,1514,1197,116,0.28%,8.30%,19.59%,3.57%
2210,Non Strata,1279,1426,1650,1516,72,0.39%,2.19%,18.03%,9.09%
2210,Strata,598,650,739,674,44,-2.62%,-5.11%,22.22%,-4.35%
2211,Total,1055,1285,1541,1302,65,-1.15%,7.08%,6.56%,0.00%
2211,Non Strata,1243,1355,1606,1415,52,2.26%,7.11%,-1.89%,6.12%
2211,Strata,678,880,997,852,s,-1.57%,8.31%,62.50%,-18.75%
2212,Total,1049,1287,1463,1269,68,0.51%,9.03%,30.77%,36.00%
2212,Non Strata,1250,1375,1530,1374,53,1.85%,10.00%,23.26%,43.24%
2212,Strata,755,950,955,895,s,4.40%,11.76%,66.67%,15.38%
2213,Total,1200,1315,1430,1324,93,-2.59%,6.05%,9.41%,8.14%
2213,Non Strata,1250,1340,1450,1399,79,-3.60%,6.60%,9.72%,1.28%
2213,Strata,758,976,1017,900,s,-5.24%,11.16%,7.69%,75.00%
2214,Total,1150,1275,1355,1183,s,0.39%,8.51%,142.86%,325.00%
2214,Non Strata,1172,1275,1368,1269,s,0.39%,8.51%,114.29%,275.00%
2214,Strata,-,-,-,-,-,-,-,-,-
2216,Total,626,725,840,881,117,0.08%,-6.75%,2.63%,14.71%
2216,Non Strata,1403,1723,1850,1688,s,3.77%,6.07%,-21.43%,-21.43%
2216,Strata,616,690,753,694,95,4.55%,-4.83%,10.47%,28.38%
2217,Total,700,803,1120,1011,200,0.63%,7.00%,-1.96%,32.45%
2217,Non Strata,1500,1797,2032,1793,42,2.95%,-4.19%,61.54%,35.48%
2217,Strata,666,773,830,804,158,-0.64%,14.02%,-11.24%,31.67%
2218,Total,660,780,1314,1001,56,4.02%,9.24%,3.70%,33.33%
2218,Non Strata,1400,1600,1720,1621,s,-2.44%,7.38%,-10.53%,54.55%
2218,Strata,652,730,787,732,39,7.35%,8.96%,11.43%,25.81%
2219,Total,840,1360,1885,1559,53,15.50%,23.92%,-17.19%,-1.85%
2219,Non Strata,1763,2575,3040,2447,s,4.04%,19.77%,5.56%,5.56%
2219,Strata,790,950,1358,1062,34,-5.33%,22.58%,-26.09%,-5.56%
2220,Total,650,750,869,870,188,2.04%,1.83%,22.88%,62.07%
2220,Non Strata,1517,1700,1990,1737,s,-19.05%,-6.34%,-25.71%,-23.53%
2220,Strata,646,731,813,731,162,8.70%,12.46%,37.29%,97.56%
2221,Total,830,1713,2400,1729,48,-7.43%,-5.60%,-21.31%,-11.11%
2221,Non Strata,1914,2350,2725,2419,s,-8.56%,4.44%,-35.14%,-33.33%
2221,Strata,726,829,1130,1039,s,-16.31%,-0.54%,0.00%,33.33%
2222,Total,555,674,1445,977,49,1.28%,22.57%,8.89%,16.67%
2222,Non Strata,1624,1823,2075,1838,s,7.84%,19.12%,7.69%,55.56%
2222,Strata,539,610,678,633,35,0.33%,14.45%,9.38%,6.06%
2223,Total,802,1330,1800,1389,81,50.71%,-5.61%,-17.35%,12.50%
2223,Non Strata,1527,1800,2256,1942,42,-8.16%,2.86%,16.67%,7.69%
2223,Strata,664,760,855,794,39,9.55%,-2.56%,-37.10%,18.18%
2224,Total,1365,1640,1880,1688,57,-7.92%,0.61%,3.64%,21.28%
2224,Non Strata,1629,1774,1903,1968,36,-5.63%,2.26%,-20.00%,0.00%
2224,Strata,745,1200,1401,1210,s,7.62%,23.71%,110.00%,90.91%
2225,Total,1525,1727,1980,1848,s,-4.19%,9.30%,-13.64%,46.15%
2225,Non Strata,1569,1751,1990,1869,s,-4.84%,5.80%,0.00%,100.00%
2225,Strata,-,-,-,-,-,-,-,-,-
2226,Total,1300,1420,1667,1436,51,-3.07%,-0.53%,18.60%,41.67%
2226,Non Strata,1347,1543,1705,1580,40,0.49%,3.18%,21.21%,33.33%
2226,Strata,760,850,893,911,s,-8.85%,-2.02%,10.00%,83.33%
2227,Total,900,1265,1710,1333,65,-17.96%,14.71%,0.00%,38.30%
2227,Non Strata,1600,1720,1975,1798,s,-9.71%,-3.85%,-23.68%,52.63%
2227,Strata,816,921,1128,958,36,-4.56%,12.32%,33.33%,28.57%
2228,Total,745,948,1702,1236,106,-13.86%,-11.86%,12.77%,-4.50%
2228,Non Strata,1686,1833,1995,1872,40,4.42%,12.08%,14.29%,2.56%
2228,Strata,701,780,881,851,66,2.63%,-6.59%,11.86%,-8.33%
2229,Total,820,1385,1950,1486,153,-7.23%,-20.97%,-7.83%,-0.65%
2229,Non Strata,1868,2180,2515,2233,59,2.59%,2.59%,-18.06%,-33.71%
2229,Strata,690,873,1318,1017,94,2.59%,-8.11%,0.00%,44.62%
2230,Total,838,1330,2730,2035,175,-5.00%,1.72%,12.18%,36.72%
2230,Non Strata,1970,2700,3328,2896,44,-10.00%,-3.74%,-8.33%,10.00%
2230,Strata,777,1020,1778,1746,131,-7.27%,1.49%,21.30%,48.86%
2231,Total,-,-,-,-,-,-,-,-,-
2231,Non Strata,-,-,-,-,-,-,-,-,-
2232,Total,711,1050,1488,1149,170,17.98%,-3.67%,5.59%,22.30%
2232,Non Strata,1410,1580,1838,1635,71,8.59%,5.33%,26.79%,14.52%
2232,Strata,670,737,906,801,99,-0.67%,-3.66%,-5.71%,28.57%
2233,Total,940,1290,1460,1205,105,7.54%,6.61%,-4.55%,31.25%
2233,Non Strata,1289,1400,1500,1393,71,11.11%,5.66%,-7.79%,31.48%
2233,Strata,693,811,925,814,34,-1.70%,0.75%,3.03%,30.77%
2234,Total,1052,1415,1678,1410,64,3.66%,4.81%,-14.67%,-4.48%
2234,Non Strata,1370,1613,1748,1602,46,6.12%,10.48%,-9.80%,-6.12%
2234,Strata,890,983,1032,920,s,-1.01%,8.56%,-25.00%,0.00%
2250,Total,654,800,960,846,319,2.14%,0.00%,4.93%,14.34%
2250,Non Strata,800,900,1113,982,192,0.00%,3.15%,-1.54%,17.07%
2250,Strata,550,630,685,642,127,6.78%,5.00%,16.51%,10.43%
2251,Total,941,1200,1428,1247,112,-10.45%,9.09%,4.67%,7.69%
2251,Non Strata,1075,1265,1515,1332,93,-4.89%,5.86%,-1.06%,3.33%
2251,Strata,725,800,835,832,s,-44.83%,11.11%,46.15%,35.71%
2256,Total,761,868,1200,1028,82,2.66%,-8.83%,20.59%,17.14%
2256,Non Strata,843,1030,1450,1159,57,4.30%,-3.74%,42.50%,9.62%
2256,Strata,660,740,790,729,s,12.98%,0.68%,-10.71%,38.89%
2257,Total,865,1040,1300,1177,132,-0.95%,6.39%,-10.20%,22.22%
2257,Non Strata,938,1100,1450,1313,88,-8.33%,-8.33%,-12.87%,23.94%
2257,Strata,714,858,1180,907,44,3.37%,7.25%,-4.35%,18.92%
2258,Total,675,788,925,892,s,-10.51%,-15.32%,-23.81%,-27.27%
2258,Non Strata,769,828,1075,988,s,-23.20%,-12.89%,-25.00%,-33.33%
2258,Strata,-,-,-,-,-,-,-,-,-
2259,Total,665,800,940,837,290,5.26%,0.00%,26.64%,28.89%
2259,Non Strata,700,814,950,856,270,1.75%,1.31%,34.33%,26.17%
2259,Strata,564,581,630,586,s,-0.26%,-3.17%,-28.57%,81.82%
2260,Total,1208,1418,1718,1524,106,3.12%,-6.18%,0.95%,-8.62%
2260,Non Strata,1339,1500,1881,1666,80,0.00%,-5.36%,9.59%,-11.11%
2260,Strata,850,976,1244,1086,s,-0.46%,-22.89%,-18.75%,0.00%
2261,Total,730,850,1016,906,284,-5.35%,-2.02%,21.37%,21.89%
2261,Non Strata,809,920,1143,1019,196,-5.15%,-4.76%,13.29%,13.29%
2261,Strata,520,637,778,655,88,-2.08%,4.77%,44.26%,46.67%
2262,Total,650,720,774,725,88,5.88%,0.28%,20.55%,0.00%
2262,Non Strata,652,720,774,726,87,5.49%,0.28%,20.83%,-1.14%
2262,Strata,-,-,-,-,-,-,-,-,-
2263,Total,630,703,776,719,100,-2.36%,0.43%,2.04%,-0.99%
2263,Non Strata,656,723,809,748,86,-3.28%,1.19%,0.00%,0.00%
2263,Strata,476,529,611,543,s,-1.46%,-4.74%,16.67%,-6.67%
2264,Total,700,768,1090,981,84,-6.97%,0.33%,29.23%,7.69%
2264,Non Strata,715,792,1105,1013,77,-4.58%,-4.45%,24.19%,14.93%
2264,Strata,-,-,-,-,-,-,-,-,-
2265,Total,773,845,1002,938,s,7.10%,-6.11%,-4.35%,-21.43%
2265,Non Strata,773,845,1002,938,s,7.10%,-6.11%,-4.35%,-21.43%
2267,Total,-,-,-,-,-,-,-,-,-
2267,Non Strata,-,-,-,-,-,-,-,-,-
2278,Total,-,-,-,-,-,-,-,-,-
2278,Non Strata,-,-,-,-,-,-,-,-,-
2280,Total,725,845,1053,922,92,6.83%,-1.74%,12.20%,-8.91%
2280,Non Strata,790,935,1110,988,73,13.68%,0.54%,4.29%,-12.05%
2280,Strata,607,628,725,667,s,-3.81%,-5.62%,58.33%,5.56%
2281,Total,733,1150,1298,1099,47,15.00%,20.17%,-4.08%,14.63%
2281,Non Strata,895,1176,1327,1162,40,12.01%,20.01%,-13.04%,2.56%
2281,Strata,-,-,-,-,-,-,-,-,-
2282,Total,810,907,1188,1015,59,6.71%,-11.94%,-9.23%,7.27%
2282,Non Strata,890,1050,1290,1122,41,0.00%,-2.87%,-4.65%,-2.38%
2282,Strata,684,785,870,773,s,15.87%,14.60%,-18.18%,38.46%
2283,Total,675,800,950,883,77,11.11%,10.73%,-7.23%,-33.62%
2283,Non Strata,708,824,1073,931,62,13.73%,12.11%,-20.51%,-38.61%
2283,Strata,590,650,760,685,s,8.34%,0.78%,200.00%,0.00%
2284,Total,780,884,1095,976,s,4.87%,3.94%,-16.67%,-30.23%
2284,Non Strata,779,929,1106,989,s,9.24%,9.11%,-20.00%,-33.33%
2284,Strata,-,-,-,-,-,-,-,-,-
2285,Total,679,755,865,769,139,5.37%,3.42%,12.10%,15.83%
2285,Non Strata,691,760,870,781,130,1.33%,0.33%,15.04%,27.45%
2285,Strata,-,-,-,-,-,-,-,-,-
2286,Total,653,735,810,715,s,-2.33%,12.30%,56.25%,108.33%
2286,Non Strata,653,735,810,715,s,-2.33%,12.30%,56.25%,108.33%
2287,Total,640,730,850,752,185,-1.55%,3.51%,15.63%,10.12%
2287,Non Strata,698,793,883,807,135,2.99%,5.73%,4.65%,2.27%
2287,Strata,536,613,654,606,50,0.41%,-3.16%,61.29%,38.89%
2289,Total,774,905,1014,923,82,4.62%,-1.09%,2.50%,10.81%
2289,Non Strata,843,978,1084,1013,54,6.19%,-0.76%,-12.90%,-8.47%
2289,Strata,647,693,910,750,s,-4.48%,6.54%,55.56%,86.67%
2290,Total,700,825,1100,903,144,-3.23%,1.85%,9.09%,0.00%
2290,Non Strata,770,888,1150,983,108,-1.66%,3.80%,3.85%,17.39%
2290,Strata,558,648,760,661,36,2.05%,-5.40%,28.57%,-30.77%
2291,Total,875,1600,2195,1810,49,-0.62%,23.08%,-5.77%,-3.92%
2291,Non Strata,1640,2000,2698,2322,31,1.27%,8.11%,-13.89%,-3.12%
2291,Strata,712,821,1082,929,s,-5.42%,0.92%,12.50%,-5.26%
2292,Total,-,-,-,-,-,-,-,-,-
2292,Non Strata,-,-,-,-,-,-,-,-,-
2293,Total,776,908,1119,990,s,-9.25%,22.64%,115.38%,33.33%
2293,Non Strata,857,966,1275,1082,s,-7.09%,-0.90%,140.00%,140.00%
2293,Strata,728,865,994,921,s,-4.95%,16.89%,100.00%,0.00%
2294,Total,-,-,-,-,-,-,-,-,-
2294,Non Strata,-,-,-,-,-,-,-,-,-
2294,Strata,-,-,-,-,-,-,-,-,-
2295,Total,865,953,1088,1026,s,-2.31%,-0.26%,-3.70%,-7.14%
2295,Non Strata,865,953,1088,1026,s,-2.31%,-0.26%,-3.70%,-7.14%
2296,Total,-,-,-,-,-,-,-,-,-
2296,Non Strata,-,-,-,-,-,-,-,-,-
2297,Total,-,-,-,-,-,-,-,-,-
2297,Non Strata,-,-,-,-,-,-,-,-,-
2298,Total,735,755,874,774,s,0.70%,-0.76%,-37.14%,-37.14%
2298,Non Strata,750,770,885,808,s,-1.28%,-3.75%,-37.04%,-41.38%
2298,Strata,-,-,-,-,-,-,-,-,-
2299,Total,669,801,935,818,58,6.80%,-1.72%,31.82%,34.88%
2299,Non Strata,730,829,990,879,49,7.66%,-4.44%,28.95%,36.11%
2299,Strata,-,-,-,-,-,-,-,-,-
2300,Total,663,893,1293,1027,80,2.59%,-1.92%,8.11%,-13.98%
2300,Non Strata,-,-,-,-,-,-,-,-,-
2300,Strata,650,815,1250,915,71,4.49%,-1.21%,14.52%,-6.58%
2302,Total,560,601,818,708,s,-12.90%,-17.67%,25.00%,15.38%
2302,Strata,560,601,818,708,s,-12.90%,-17.67%,25.00%,15.38%
2303,Total,810,1051,1700,1322,s,-22.12%,-15.89%,-9.37%,-3.33%
2303,Non Strata,890,1380,1963,1502,s,-2.13%,6.15%,-25.81%,-20.69%
2303,Strata,-,-,-,-,-,-,-,-,-
2304,Total,674,795,875,761,75,3.58%,3.25%,20.97%,8.70%
2304,Non Strata,730,825,880,807,57,-3.23%,3.13%,35.71%,-1.72%
2304,Strata,473,623,769,618,s,3.89%,2.11%,-10.00%,63.64%
2305,Total,740,963,1175,999,53,0.84%,-3.70%,-15.87%,-25.35%
2305,Non Strata,908,1118,1313,1124,40,1.59%,14.62%,-11.11%,-4.76%
2305,Strata,520,605,640,616,s,-6.20%,-92.04%,-27.78%,-55.17%
2306,Total,-,-,-,-,-,-,-,-,-
2306,Non Strata,-,-,-,-,-,-,-,-,-
2307,Total,575,680,735,677,s,7.09%,3.03%,0.00%,13.33%
2307,Non Strata,668,704,746,701,s,3.53%,5.86%,27.27%,7.69%
2307,Strata,-,-,-,-,-,-,-,-,-
2311,Total,-,-,-,-,-,-,-,-,-
2311,Non Strata,-,-,-,-,-,-,-,-,-
2312,Total,-,-,-,-,-,-,-,-,-
2312,Non Strata,-,-,-,-,-,-,-,-,-
2315,Total,708,884,1100,942,84,1.03%,-4.54%,-9.68%,-23.64%
2315,Non Strata,898,1063,1300,1120,48,10.68%,-4.71%,-15.79%,-14.29%
